v,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,E_GPa,H_GPa,CI,IQ,XRD
data_59,grad6-NbTi measure 1 indent 4,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,265.8310672791903,13.135071895168284,0.3283698,57888.38,1.0
data_60,grad6-NbTi measure 1 indent 5,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,262.9209941582393,12.512978714358777,0.3283698,57888.38,1.0
data_61,grad6-NbTi measure 2 indent 1,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,246.17827931411315,11.735876357557949,0.30716,57382.47,1.0
data_62,grad6-NbTi measure 2 indent 2,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,260.36792041016747,12.12932004673564,0.30716,57382.47,1.0
data_63,grad6-NbTi measure 2 indent 3,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,242.92143642658584,11.656407899468402,0.30716,57382.47,1.0
data_64,grad6-NbTi measure 2 indent 4,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,249.58775052428763,11.489595896136125,0.30716,57382.47,1.0
data_65,grad6-NbTi measure 2 indent 5,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,254.45587723502774,12.299522953719464,0.30716,57382.47,1.0
data_66,grad6-NbTi measure 3 indent 1,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,243.1359783329578,11.95817262250822,0.2561257,54186.98,1.0
data_67,grad6-NbTi measure 3 indent 2,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,239.106145319158,11.126848629573509,0.2561257,54186.98,1.0
data_68,grad6-NbTi measure 3 indent 3,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,255.0973286544753,10.938693787718165,0.2561257,54186.98,1.0
data_69,grad6-NbTi measure 3 indent 4,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,231.32733567398694,11.77064683500079,0.2561257,54186.98,1.0
data_70,grad6-NbTi measure 3 indent 5,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,234.70024159899273,10.650441629675294,0.2561257,54186.98,1.0
data_71,grad6-NbTi measure 4 indent 1,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,228.0803867976303,11.188996373027534,0.23730140000000002,52541.05,1.0
data_72,grad6-NbTi measure 4 indent 2,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,231.92852872453736,10.931590449628384,0.23730140000000002,52541.05,1.0
data_73,grad6-NbTi measure 4 indent 3,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,235.34645561040836,11.08552018901687,0.23730140000000002,52541.05,1.0
data_74,grad6-NbTi measure 4 indent 4,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,225.20700254087902,10.868398170181031,0.23730140000000002,52541.05,1.0
data_75,grad6-NbTi measure 4 indent 5,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,204.62056843705662,10.734888859007835,0.23730140000000002,52541.05,1.0
data_76,grad6-NbTi measure 5 indent 1,0.0,24.24,25.63,27.39,22.74,0.0,31.25,34.13,18.21,16.41,220.80176775241398,10.806902090319431,0.1396406,46965.76,1.0
data_77,grad6-NbTi measure 5 indent 2,0.0,24.24,25.63,27.39,22.74,0.0,31.25,34.13,18.21,16.41,205.1845694865182,11.19423168260255,0.1396406,46965.76,1.0
data_78,grad6-NbTi measure 5 indent 3,0.0,24.24,25.63,27.39,22.74,0.0,31.25,34.13,18.21,16.41,213.87523687060138,10.639484090462428,0.1396406,46965.76,1.0
data_79,grad6-NbTi measure 5 indent 4,0.0,24.24,25.63,27.39,22.74,0.0,31.25,34.13,18.21,16.41,217.93818866546837,10.691400393884598,0.1396406,46965.76,1.0
data_80,grad6-NbTi measure 5 indent 5,0.0,24.24,25.63,27.39,22.74,0.0,31.25,34.13,18.21,16.41,206.93575278080448,10.678331993436398,0.1396406,46965.76,1.0
data_81,grad6-NbTi measure 6 indent 1,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,220.7862875181521,11.295552692215676,0.1710069,48980.44,1.0
data_82,grad6-NbTi measure 6 indent 2,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,206.74650153400012,11.317618242506004,0.1710069,48980.44,1.0
data_83,grad6-NbTi measure 6 indent 3,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,199.2649427507511,10.70432578546037,0.1710069,48980.44,1.0
data_84,grad6-NbTi measure 6 indent 4,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,204.94175511929558,11.383346645305068,0.1710069,48980.44,1.0
data_85,grad6-NbTi measure 6 indent 5,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,210.47966910034253,10.958761847557373,0.1710069,48980.44,1.0
data_86,grad6-NbTi measure 7 indent 1,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,181.95731839960177,10.758484509877926,0.1277132,46081.75,1.0
data_87,grad6-NbTi measure 7 indent 2,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,175.5336177464557,9.938736630153532,0.1277132,46081.75,1.0
data_88,grad6-NbTi measure 7 indent 3,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,185.78820944550455,10.47234896582368,0.1277132,46081.75,1.0
data_89,grad6-NbTi measure 7 indent 4,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,184.39329359391525,10.014165279635021,0.1277132,46081.75,1.0
data_90,grad6-NbTi measure 7 indent 5,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,186.19751686325668,10.30305144571601,0.1277132,46081.75,1.0
data_91,grad6-NbTi measure 8 indent 1,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,190.8333573830164,10.008548815460411,0.08399881,44509.68,1.0
data_92,grad6-NbTi measure 8 indent 2,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,184.54548156297952,9.78951932803297,0.08399881,44509.68,1.0
data_93,grad6-NbTi measure 8 indent 3,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,177.2047230346282,10.02942837233119,0.08399881,44509.68,1.0
data_94,grad6-NbTi measure 8 indent 4,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,173.03575153195789,9.630417676632891,0.08399881,44509.68,1.0
data_95,grad6-NbTi measure 8 indent 5,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,179.2307196093531,9.697461079168496,0.08399881,44509.68,1.0
data_96,grad6-NbTi measure 9 indent 1,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,164.09542566093566,9.778309314474477,0.0372929,43037.66,1.0
data_97,grad6-NbTi measure 9 indent 2,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,166.2427540941897,9.99033250122949,0.0372929,43037.66,1.0
data_98,grad6-NbTi measure 9 indent 3,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,160.87454076137976,9.642407841652183,0.0372929,43037.66,1.0
data_99,grad6-NbTi measure 9 indent 4,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,155.541787218642,8.815266636334263,0.0372929,43037.66,1.0
data_100,grad6-NbTi measure 9 indent 5,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,165.56238766745582,9.488410426248137,0.0372929,43037.66,1.0
data_101,grad6-NbTi measure 10 indent 1,0.0,34.66,15.46,40.05,9.82,0.0,45.15,20.8,26.9,7.16,137.9749136291809,8.168426407782743,0.06778922,42113.36,1.0
data_102,grad6-NbTi measure 10 indent 2,0.0,34.66,15.46,40.05,9.82,0.0,45.15,20.8,26.9,7.16,140.20074036205554,8.226932664918458,0.06778922,42113.36,1.0
data_103,grad6-NbTi measure 10 indent 3,0.0,34.66,15.46,40.05,9.82,0.0,45.15,20.8,26.9,7.16,147.5126930924837,8.372652108979896,0.06778922,42113.36,1.0
data_104,grad6-NbTi measure 10 indent 4,0.0,34.66,15.46,40.05,9.82,0.0,45.15,20.8,26.9,7.16,139.6528680073306,8.39944352403247,0.06778922,42113.36,1.0
data_105,grad6-NbTi measure 10 indent 5,0.0,34.66,15.46,40.05,9.82,0.0,45.15,20.8,26.9,7.16,139.48417673674712,8.13900484948037,0.06778922,42113.36,1.0
data_106,grad6-NbTi measure 11 indent 1,0.0,36.24,13.11,42.22,8.44,0.0,47.52,17.75,28.54,6.2,107.21332438632476,6.7438317956651375,0.07471777,42027.58,1.0
data_107,grad6-NbTi measure 11 indent 2,0.0,36.24,13.11,42.22,8.44,0.0,47.52,17.75,28.54,6.2,107.63981675619684,6.6643871615142665,0.07471777,42027.58,1.0
data_108,grad6-NbTi measure 11 indent 3,0.0,36.24,13.11,42.22,8.44,0.0,47.52,17.75,28.54,6.2,108.0256994017636,6.05196552441172,0.07471777,42027.58,1.0
data_109,grad6-NbTi measure 11 indent 4,0.0,36.24,13.11,42.22,8.44,0.0,47.52,17.75,28.54,6.2,108.72860567305986,6.785676047438984,0.07471777,42027.58,1.0
data_110,grad6-NbTi measure 11 indent 5,0.0,36.24,13.11,42.22,8.44,0.0,47.52,17.75,28.54,6.2,123.08163544728369,8.047901417309184,0.07471777,42027.58,1.0
data_111,grad6-NbTi measure 12 indent 1,0.0,38.32,12.46,42.2,7.02,0.0,49.85,16.74,28.3,5.11,79.54211384210852,5.747745477673123,0.07275116,41671.81,1.0
