,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,H_GPa
data_129,grad7-CrMo measure 3 indent 4,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,16.780585619705352
data_130,grad7-CrMo measure 3 indent 5,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,17.26307781240021
data_131,grad7-CrMo measure 4 indent 1,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,17.381071399276962
data_132,grad7-CrMo measure 4 indent 2,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,17.153507260138248
data_133,grad7-CrMo measure 4 indent 3,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,16.828460984363886
data_134,grad7-CrMo measure 4 indent 4,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,16.734930511054376
data_135,grad7-CrMo measure 4 indent 5,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,17.71894375669217
data_136,grad7-CrMo measure 5 indent 1,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,17.182342034668473
data_137,grad7-CrMo measure 5 indent 2,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,17.239858316918838
data_138,grad7-CrMo measure 5 indent 3,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,16.999542093850728
data_139,grad7-CrMo measure 5 indent 4,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,16.986827019826535
data_140,grad7-CrMo measure 5 indent 5,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,17.250217341398617
data_141,grad7-CrMo measure 6 indent 1,6.65,7.5,32.98,0.0,52.88,8.4,9.65,43.85,0.0,38.1,17.449970339550404
data_142,grad7-CrMo measure 6 indent 2,6.65,7.5,32.98,0.0,52.88,8.4,9.65,43.85,0.0,38.1,17.304391937934994
data_144,grad7-CrMo measure 6 indent 4,6.65,7.5,32.98,0.0,52.88,8.4,9.65,43.85,0.0,38.1,17.422542179892226
data_145,grad7-CrMo measure 6 indent 5,6.65,7.5,32.98,0.0,52.88,8.4,9.65,43.85,0.0,38.1,17.729525480738488
data_146,grad7-CrMo measure 7 indent 1,7.45,8.58,32.37,0.0,51.6,9.35,10.97,42.74,0.0,36.93,16.67567150564166
data_147,grad7-CrMo measure 7 indent 2,7.45,8.58,32.37,0.0,51.6,9.35,10.97,42.74,0.0,36.93,16.541838158223914
data_148,grad7-CrMo measure 7 indent 3,7.45,8.58,32.37,0.0,51.6,9.35,10.97,42.74,0.0,36.93,17.58158480593741
data_149,grad7-CrMo measure 7 indent 4,7.45,8.58,32.37,0.0,51.6,9.35,10.97,42.74,0.0,36.93,17.522827016497416
data_150,grad7-CrMo measure 7 indent 5,7.45,8.58,32.37,0.0,51.6,9.35,10.97,42.74,0.0,36.93,16.581487684633277
data_151,grad7-CrMo measure 8 indent 1,8.28,9.73,31.73,0.0,50.26,10.32,12.35,41.61,0.0,35.72,17.51238249804753
data_154,grad7-CrMo measure 8 indent 4,8.28,9.73,31.73,0.0,50.26,10.32,12.35,41.61,0.0,35.72,17.37067466217604
data_155,grad7-CrMo measure 8 indent 5,8.28,9.73,31.73,0.0,50.26,10.32,12.35,41.61,0.0,35.72,17.500379507768393
data_156,grad7-CrMo measure 9 indent 1,9.25,11.05,31.44,0.0,48.26,11.4,13.89,40.78,0.0,33.93,17.953477635647296
data_157,grad7-CrMo measure 9 indent 2,9.25,11.05,31.44,0.0,48.26,11.4,13.89,40.78,0.0,33.93,16.782160922903184
data_158,grad7-CrMo measure 9 indent 3,9.25,11.05,31.44,0.0,48.26,11.4,13.89,40.78,0.0,33.93,16.836851071505563
data_159,grad7-CrMo measure 9 indent 4,9.25,11.05,31.44,0.0,48.26,11.4,13.89,40.78,0.0,33.93,18.08635249943433
data_160,grad7-CrMo measure 9 indent 5,9.25,11.05,31.44,0.0,48.26,11.4,13.89,40.78,0.0,33.93,17.52763098226023
data_161,grad7-CrMo measure 10 indent 1,10.52,12.55,30.72,0.0,46.21,12.83,15.59,39.43,0.0,32.14,13.13335879357125
data_162,grad7-CrMo measure 10 indent 2,10.52,12.55,30.72,0.0,46.21,12.83,15.59,39.43,0.0,32.14,12.607656314195026
data_163,grad7-CrMo measure 10 indent 3,10.52,12.55,30.72,0.0,46.21,12.83,15.59,39.43,0.0,32.14,12.904087853410845
data_164,grad7-CrMo measure 10 indent 4,10.52,12.55,30.72,0.0,46.21,12.83,15.59,39.43,0.0,32.14,12.963278178890183
data_165,grad7-CrMo measure 10 indent 5,10.52,12.55,30.72,0.0,46.21,12.83,15.59,39.43,0.0,32.14,12.945219497700503
data_166,grad7-CrMo measure 11 indent 1,11.78,14.33,29.88,0.0,44.0,14.22,17.61,37.92,0.0,30.26,12.881711645190041
data_167,grad7-CrMo measure 11 indent 2,11.78,14.33,29.88,0.0,44.0,14.22,17.61,37.92,0.0,30.26,13.064192952815148
data_168,grad7-CrMo measure 11 indent 3,11.78,14.33,29.88,0.0,44.0,14.22,17.61,37.92,0.0,30.26,12.760328473386046
data_169,grad7-CrMo measure 11 indent 4,11.78,14.33,29.88,0.0,44.0,14.22,17.61,37.92,0.0,30.26,13.171212645196881
data_170,grad7-CrMo measure 11 indent 5,11.78,14.33,29.88,0.0,44.0,14.22,17.61,37.92,0.0,30.26,12.976856394244125
data_171,grad7-CrMo measure 12 indent 1,13.18,16.0,29.25,0.0,41.57,15.7,19.42,36.65,0.0,28.23,12.701953410381801
data_172,grad7-CrMo measure 12 indent 2,13.18,16.0,29.25,0.0,41.57,15.7,19.42,36.65,0.0,28.23,12.713095138446024
data_173,grad7-CrMo measure 12 indent 3,13.18,16.0,29.25,0.0,41.57,15.7,19.42,36.65,0.0,28.23,12.986756004004306
data_174,grad7-CrMo measure 12 indent 4,13.18,16.0,29.25,0.0,41.57,15.7,19.42,36.65,0.0,28.23,12.859195398798581
data_175,grad7-CrMo measure 12 indent 5,13.18,16.0,29.25,0.0,41.57,15.7,19.42,36.65,0.0,28.23,12.670208377059826
data_176,grad7-NbZr measure 1 indent 1,14.09,17.13,28.79,0.0,39.99,16.65,20.62,35.79,0.0,26.94,12.263122594697233
data_177,grad7-NbZr measure 1 indent 2,14.09,17.13,28.79,0.0,39.99,16.65,20.62,35.79,0.0,26.94,12.865451373616859
data_178,grad7-NbZr measure 1 indent 3,14.09,17.13,28.79,0.0,39.99,16.65,20.62,35.79,0.0,26.94,12.463773386452331
data_179,grad7-NbZr measure 1 indent 4,14.09,17.13,28.79,0.0,39.99,16.65,20.62,35.79,0.0,26.94,12.751393946250442
data_180,grad7-NbZr measure 1 indent 5,14.09,17.13,28.79,0.0,39.99,16.65,20.62,35.79,0.0,26.94,12.947159995968931
data_181,grad7-NbZr measure 2 indent 1,15.7,18.94,27.77,0.0,37.6,18.33,22.52,34.12,0.0,25.03,12.409077903720338
data_182,grad7-NbZr measure 2 indent 2,15.7,18.94,27.77,0.0,37.6,18.33,22.52,34.12,0.0,25.03,12.198691736166639
data_183,grad7-NbZr measure 2 indent 3,15.7,18.94,27.77,0.0,37.6,18.33,22.52,34.12,0.0,25.03,12.486561888659821
data_184,grad7-NbZr measure 2 indent 4,15.7,18.94,27.77,0.0,37.6,18.33,22.52,34.12,0.0,25.03,12.152964963192211
data_185,grad7-NbZr measure 2 indent 5,15.7,18.94,27.77,0.0,37.6,18.33,22.52,34.12,0.0,25.03,12.774886817939535
data_186,grad7-NbZr measure 3 indent 1,18.86,23.36,25.53,0.0,32.25,21.46,27.07,30.56,0.0,20.92,11.914147108517113
data_187,grad7-NbZr measure 3 indent 2,18.86,23.36,25.53,0.0,32.25,21.46,27.07,30.56,0.0,20.92,12.208650341363398
data_188,grad7-NbZr measure 3 indent 3,18.86,23.36,25.53,0.0,32.25,21.46,27.07,30.56,0.0,20.92,12.119925621651062
data_189,grad7-NbZr measure 3 indent 4,18.86,23.36,25.53,0.0,32.25,21.46,27.07,30.56,0.0,20.92,11.73127744092261
