,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,E_GPa
data_176,grad7-NbZr measure 1 indent 1,14.09,17.13,28.79,0.0,39.99,16.65,20.62,35.79,0.0,26.94,185.24707737337172
data_177,grad7-NbZr measure 1 indent 2,14.09,17.13,28.79,0.0,39.99,16.65,20.62,35.79,0.0,26.94,174.2910704491412
data_178,grad7-NbZr measure 1 indent 3,14.09,17.13,28.79,0.0,39.99,16.65,20.62,35.79,0.0,26.94,184.14933884449846
data_179,grad7-NbZr measure 1 indent 4,14.09,17.13,28.79,0.0,39.99,16.65,20.62,35.79,0.0,26.94,177.32094245638487
data_180,grad7-NbZr measure 1 indent 5,14.09,17.13,28.79,0.0,39.99,16.65,20.62,35.79,0.0,26.94,175.7128731773637
data_181,grad7-NbZr measure 2 indent 1,15.7,18.94,27.77,0.0,37.6,18.33,22.52,34.12,0.0,25.03,171.40892143025653
data_182,grad7-NbZr measure 2 indent 2,15.7,18.94,27.77,0.0,37.6,18.33,22.52,34.12,0.0,25.03,177.0887423600008
data_183,grad7-NbZr measure 2 indent 3,15.7,18.94,27.77,0.0,37.6,18.33,22.52,34.12,0.0,25.03,169.9625447258721
data_184,grad7-NbZr measure 2 indent 4,15.7,18.94,27.77,0.0,37.6,18.33,22.52,34.12,0.0,25.03,174.50482763951544
data_185,grad7-NbZr measure 2 indent 5,15.7,18.94,27.77,0.0,37.6,18.33,22.52,34.12,0.0,25.03,162.53880170827262
data_186,grad7-NbZr measure 3 indent 1,18.86,23.36,25.53,0.0,32.25,21.46,27.07,30.56,0.0,20.92,160.09828446191568
data_188,grad7-NbZr measure 3 indent 3,18.86,23.36,25.53,0.0,32.25,21.46,27.07,30.56,0.0,20.92,161.70735106110297
data_189,grad7-NbZr measure 3 indent 4,18.86,23.36,25.53,0.0,32.25,21.46,27.07,30.56,0.0,20.92,159.73192956410963
data_190,grad7-NbZr measure 3 indent 5,18.86,23.36,25.53,0.0,32.25,21.46,27.07,30.56,0.0,20.92,159.1335695327123
data_191,grad7-NbZr measure 4 indent 1,20.48,25.74,24.2,0.0,29.58,23.0,29.46,28.6,0.0,18.94,164.0278851048426
data_192,grad7-NbZr measure 4 indent 2,20.48,25.74,24.2,0.0,29.58,23.0,29.46,28.6,0.0,18.94,158.52383036157843
data_193,grad7-NbZr measure 4 indent 3,20.48,25.74,24.2,0.0,29.58,23.0,29.46,28.6,0.0,18.94,155.98658439771395
data_194,grad7-NbZr measure 4 indent 4,20.48,25.74,24.2,0.0,29.58,23.0,29.46,28.6,0.0,18.94,155.5146033090394
data_195,grad7-NbZr measure 4 indent 5,20.48,25.74,24.2,0.0,29.58,23.0,29.46,28.6,0.0,18.94,159.22346456313647
data_196,grad7-NbZr measure 5 indent 1,22.21,27.93,22.79,0.0,27.08,24.66,31.58,26.61,0.0,17.14,155.54847543567317
data_197,grad7-NbZr measure 5 indent 2,22.21,27.93,22.79,0.0,27.08,24.66,31.58,26.61,0.0,17.14,147.91320102947694
data_198,grad7-NbZr measure 5 indent 3,22.21,27.93,22.79,0.0,27.08,24.66,31.58,26.61,0.0,17.14,148.2976366002739
data_199,grad7-NbZr measure 5 indent 4,22.21,27.93,22.79,0.0,27.08,24.66,31.58,26.61,0.0,17.14,152.04458770774716
data_200,grad7-NbZr measure 5 indent 5,22.21,27.93,22.79,0.0,27.08,24.66,31.58,26.61,0.0,17.14,148.36881857154043
data_201,grad7-NbZr measure 6 indent 1,23.73,30.62,21.35,0.0,24.3,26.01,34.18,24.62,0.0,15.19,136.42337711607962
data_202,grad7-NbZr measure 6 indent 2,23.73,30.62,21.35,0.0,24.3,26.01,34.18,24.62,0.0,15.19,134.0137160333762
data_204,grad7-NbZr measure 6 indent 4,23.73,30.62,21.35,0.0,24.3,26.01,34.18,24.62,0.0,15.19,138.54219565722286
data_205,grad7-NbZr measure 6 indent 5,23.73,30.62,21.35,0.0,24.3,26.01,34.18,24.62,0.0,15.19,139.618210738942
data_206,grad7-NbZr measure 7 indent 1,25.54,32.96,19.76,0.0,21.74,27.68,36.38,22.52,0.0,13.42,145.27915284237534
data_207,grad7-NbZr measure 7 indent 2,25.54,32.96,19.76,0.0,21.74,27.68,36.38,22.52,0.0,13.42,148.97262785010273
data_208,grad7-NbZr measure 7 indent 3,25.54,32.96,19.76,0.0,21.74,27.68,36.38,22.52,0.0,13.42,153.1704753622102
