,index,Zr,Nb,Mo,Ti,Cr,RF - Phase prediction from EBSD class,RF - Phase prediction from XRD class,RF - CI prediction,RF - IQ prediction,RF - Young Modulus prediction (GPa),RF - Hardness prediction (GPa),C,x,deltaH,E2/H
1125,compo_1110,0.0,0.0,60.0,30.0,10.0,1.0,1,0.17104557623939878,47865.36971737374,311.8025656519297,11.969044493476243,1.6492809664970232,1.5807094510187238,0.7344827308500975,8122.6901612836655
1126,compo_25866,2.0,2.0,76.0,12.0,8.0,1.0,1,0.7650417489703707,114167.5664519048,328.7429750571825,11.954609520260625,1.6986338617762138,1.6203838334992189,0.7449274661651546,9040.190184906282
1127,compo_25891,2.0,2.0,82.0,2.0,12.0,1.0,1,0.8974267337312174,130728.67192539686,327.48463941367993,11.950667599683461,1.695466949637454,1.6178060040480209,0.7442681079537258,8974.075143278907
1128,compo_25816,2.0,2.0,68.0,20.0,8.0,1.0,1,0.2859522082994037,56970.51732834776,311.8929093659381,11.940848159455664,1.651859552426386,1.5827425031348628,0.7350519426540982,8146.589389106157
1129,compo_24641,2.0,0.0,78.0,12.0,8.0,1.0,1,0.7762696803275135,118444.68870428573,328.7355930510543,11.929359170872292,1.7006859942112815,1.6220398230161481,0.7453710742397022,9058.918303213964
1130,compo_3630,0.0,4.0,57.99999999999999,28.000000000000004,10.0,1.0,1,0.2010553560536844,54147.468975555545,309.4119678941841,11.90070546295962,1.6478901097139145,1.5795650930360343,0.7342271508784859,8044.545440950927
1131,compo_27042,2.0,4.0,74.0,12.0,8.0,1.0,1,0.7265108863259259,100419.31924557721,312.2913037197002,11.895507544664259,1.6567545611948171,1.5866137794182895,0.7361253714495081,8198.545376291686
1132,compo_24576,2.0,0.0,68.0,22.0,8.0,1.0,1,0.2883934419679752,57796.50558713564,310.5651492538862,11.8949026060661,1.6517566665351475,1.5826337859477542,0.7350583614525477,8108.575170838404
1133,compo_25785,2.0,2.0,64.0,24.0,8.0,1.0,1,0.24439140061898024,55825.487608347765,311.7233731268888,11.892412394767213,1.655352150496504,1.5854942885744323,0.7358280471064351,8170.878887143372
1134,compo_25801,2.0,2.0,66.0,22.0,8.0,1.0,1,0.2537384332914671,56445.70210834775,309.11226795030126,11.890302820317974,1.6478654488424525,1.5795394375794742,0.734228307605041,8035.993333500619
1135,compo_27061,2.0,4.0,78.0,8.0,8.0,1.0,1,0.8091092840378311,119876.99151380955,324.4285303544118,11.881655605963028,1.6926104818386325,1.6154454228539985,0.7437124037855667,8858.518947064911
1136,compo_27052,2.0,4.0,76.0,10.0,8.0,1.0,1,0.7973673633711644,115687.05196142856,324.06498379380247,11.877383870087929,1.6919424262379097,1.6149008781931158,0.7435750784654461,8841.855653563209
1137,compo_25876,2.0,2.0,78.0,10.0,8.0,1.0,1,0.8091092840378311,119778.28591380955,328.44271754392975,11.871224221211815,1.704661680187881,1.6252472826069302,0.7462347210687665,9087.067744444452
1138,compo_27069,2.0,4.0,80.0,6.0,8.0,1.0,1,0.9193529152709236,127494.44534126985,331.3537539159509,11.869750229295551,1.712811515978509,1.6319124000421792,0.7479281896944617,9250.010161393997
1139,compo_25885,2.0,2.0,80.0,8.0,8.0,1.0,1,0.8092236130415349,127494.44534126985,332.6982608250304,11.857340776620884,1.7175194041171886,1.6357679092012334,0.7489101661918598,9334.987906752558
1140,compo_1273,0.0,0.0,82.0,4.0,14.000000000000002,1.0,1,0.9140017455722224,130234.19563650795,331.971615831563,11.854184295311086,1.7157912137172506,1.6343469480129351,0.7485546425650991,9296.730249200733
1141,compo_1274,0.0,0.0,82.0,6.0,12.0,1.0,1,0.921868106360053,130364.51277777775,331.85738010659765,11.85186784041848,1.7156694974586262,1.6342456594152641,0.7485308572738617,9292.148901259283
1142,compo_27006,2.0,4.0,68.0,18.0,8.0,1.0,1,0.2952198649676578,60004.749330339124,310.03033752332766,11.848156357648161,1.6540491878086103,1.5844306296444128,0.7355771788587678,8112.554163144745
1143,compo_24618,2.0,0.0,74.0,16.0,8.0,1.0,1,0.7231366616164021,99676.09365103178,313.6394304142955,11.835247334076474,1.6656573486657256,1.5936915876170386,0.7380571146921812,8311.587374044488
1144,compo_25843,2.0,2.0,72.0,16.0,8.0,1.0,1,0.6879340429814815,95425.75650072873,312.8700949975203,11.830588956420346,1.6638070325755785,1.5922079122495292,0.737666930711229,8274.11861779161
1145,compo_24659,2.0,0.0,82.0,6.0,10.0,1.0,1,0.9230012811153684,130489.69732539682,333.59368575729155,11.824133264925596,1.72270949324832,1.6400169512749612,0.7500016899632133,9411.662122182184
1146,compo_25830,2.0,2.0,70.0,18.0,8.0,1.0,1,0.5094011431621555,61788.826551681086,312.02529656233816,11.823397191628391,1.661941150648764,1.5907116591987749,0.7372746291974507,8234.501820149551
1147,compo_25877,2.0,2.0,78.0,12.0,6.0,1.0,1,0.7671554381925929,118514.53503761905,327.9179029415947,11.822945043385431,1.707197945909595,1.62729003298625,0.7467915080024333,9095.039406427155
1148,compo_24651,2.0,0.0,80.0,10.0,8.0,1.0,1,0.8075526053510587,127494.44534126985,332.4052178875365,11.819395557990227,1.719855758580194,1.6376654832165358,0.7494157733463096,9348.46696150754
1149,compo_27053,2.0,4.0,76.0,12.0,6.0,1.0,1,0.7554135175259262,114457.39123761909,323.5401691914676,11.81591759631474,1.6955507363907794,1.6177938989200653,0.7443677367578055,8859.086924666057
1150,compo_24560,2.0,0.0,66.0,24.0,8.0,1.0,1,0.2574211700013084,57271.69036713563,311.3552959151458,11.812291827436333,1.6609049899372492,1.5898771759883064,0.7370609965528778,8206.884972926357
1151,compo_26961,2.0,4.0,62.0,24.0,8.0,1.0,1,0.2410031862912025,60004.749330339124,309.9555373625518,11.808934165364287,1.6570806406604437,1.5868229750786096,0.7362483315936107,8135.572084353691
1152,compo_1272,0.0,0.0,82.0,2.0,16.0,1.0,1,0.8661990590164025,128924.92436984128,326.8605184257136,11.79887615074678,1.7062548090012544,1.626504998423352,0.7466100363300858,9054.913123972763
1153,compo_2541,0.0,2.0,78.0,12.0,8.0,1.0,1,0.7749834849941802,118088.49137857145,328.92707390035287,11.783723275955909,1.713246523472827,1.6322173968655291,0.748070377696075,9181.564893450153
1154,compo_24652,2.0,0.0,80.0,12.0,6.0,1.0,1,0.7667557778867728,126230.69446507939,331.96483688014615,11.782869508835262,1.7216791014440296,1.6391437410299274,0.7498140821959905,9352.615917729483
1155,compo_27062,2.0,4.0,78.0,10.0,6.0,1.0,1,0.7994810525933866,119946.83784714287,323.2399116782147,11.782493298519215,1.6974800822057614,1.619342543287232,0.7447912789040813,8867.736043174431
1156,compo_28205,2.0,6.0,80.0,6.0,6.0,1.0,1,0.9096592415214528,127530.7944888889,307.8555136809787,11.779175646278052,1.653363214655739,1.5838441468124822,0.7354732313071572,8045.980478585186
1157,compo_24666,2.0,0.0,84.0,2.0,12.0,1.0,1,0.8993886455629634,131894.22401349212,327.5921806018905,11.777731390325027,1.7100449890305427,1.6295914802582792,0.7474101702632475,9111.825803707692
1158,compo_25817,2.0,2.0,68.0,22.0,6.0,1.0,1,0.2859522082994037,55485.844523109656,310.27443549722983,11.777044645495966,1.660667561736531,1.5896668025818181,0.7370321664428293,8174.395888016132
1159,compo_3766,0.0,4.0,76.0,12.0,8.0,1.0,1,0.7603246899201062,114254.34449523813,324.6445048355178,11.775522566213748,1.7020050016923514,1.6230229744730058,0.7457395610904726,8950.265597748883
1160,compo_3785,0.0,4.0,80.0,8.0,8.0,1.0,1,0.8074234283986778,127494.44534126985,328.1650283270368,11.772940901420961,1.7120325690167628,1.6312161157821292,0.7478253179298251,9147.441299385673
1161,compo_24630,2.0,0.0,76.0,14.000000000000002,8.0,1.0,1,0.7645277596608469,114167.5664519048,328.1315878984798,11.772435797930472,1.7119818584186126,1.6311742695142164,0.7478151107565174,9145.96951938405
1162,compo_2557,0.0,2.0,82.0,2.0,14.000000000000002,1.0,1,0.8848687800179895,130342.46713650796,327.90492937854594,11.770052578787947,1.7115514226009167,1.6308202581403988,0.7477273087590172,9135.187968873248
1163,compo_27070,2.0,4.0,80.0,8.0,6.0,1.0,1,0.7995953815970904,127564.29167460314,327.3292251211016,11.76059708561354,1.7107394176254562,1.6301496597862326,0.7475646202492878,9110.4576441487
1164,compo_25855,2.0,2.0,74.0,14.000000000000002,8.0,1.0,1,0.7265108863259259,99754.36291891057,312.70996276682496,11.760516679046907,1.6691629671623889,1.5964570240783469,0.7388466727387827,8314.900057737423
1165,compo_27063,2.0,4.0,78.0,12.0,4.0,1.0,1,0.7679267388814816,115226.64285904766,323.513519040033,11.754382590985431,1.7005886756869502,1.6218561798719926,0.7454571458926793,8903.997823069965
1166,compo_2476,0.0,2.0,68.0,22.0,8.0,1.0,1,0.22370376760365804,51740.46681713563,310.67127482587637,11.752045751892226,1.6639136851968794,1.592247023066978,0.7377379107646957,8212.752319007508
1167,compo_1266,0.0,0.0,80.0,12.0,8.0,1.0,1,0.7745838246883601,126160.84813174605,332.7054754007893,11.751502793130006,1.7263136664030057,1.6429441495239199,0.7507877429458223,9419.4704549938
1168,compo_24631,2.0,0.0,76.0,16.0,6.0,1.0,1,0.7518994104830691,114013.76805761908,327.8385421625148,11.750047010187266,1.7130320565774213,1.6320214100208217,0.7480463025091371,9147.036572199217
1169,compo_25887,2.0,2.0,80.0,12.0,4.0,1.0,1,0.7680410678851852,122056.86690079366,331.8610329429215,11.746584852894285,1.7244120996613803,1.6413730770450785,0.7503992452803095,9375.63952120152
1170,compo_3776,0.0,4.0,78.0,10.0,8.0,1.0,1,0.8073090993949741,119520.79418809526,324.34424732226495,11.74443596631824,1.7037507865810329,1.6244281721740308,0.7461220527452341,8957.364242331123
1171,compo_25856,2.0,2.0,74.0,16.0,6.0,1.0,1,0.7139318124814816,99530.71819129153,313.3487166576391,11.738931287369216,1.6728204419052732,1.599380587278059,0.7396343124715012,8364.255299512359
1172,compo_26977,2.0,4.0,64.0,22.0,8.0,1.0,1,0.2448431302634248,60004.749330339124,307.62106496084425,11.734304173269253,1.6564098706378048,1.5862444291565074,0.7361512747969419,8064.450879261571
1173,compo_28206,2.0,6.0,80.0,8.0,4.0,1.0,1,0.8016281594756617,122845.49360793653,307.3976198054292,11.731328646003242,1.6559966980569878,1.5859133877485343,0.736064968308626,8054.782157538158
1174,compo_27019,2.0,4.0,70.0,16.0,8.0,1.0,1,0.5178893348821554,65554.40194176768,311.3822250850468,11.730229077601821,1.6678153112627023,1.5953585745530432,0.7385795613622588,8265.72861088042
1175,compo_25886,2.0,2.0,80.0,10.0,6.0,1.0,1,0.7995953815970904,127564.29167460314,331.7119809412956,11.721787525236184,1.7260705093798134,1.642725640744211,0.7507555788751329,9387.03572839087
1176,compo_1243,0.0,0.0,76.0,16.0,8.0,1.0,1,0.7568736342105823,113810.72131523813,328.73405335398405,11.715812691228257,1.7183679465066843,1.6363800968477331,0.7491709646787061,9223.950628320488
1177,compo_25892,2.0,2.0,82.0,4.0,10.0,1.0,1,0.9241029947534636,130620.40042539682,333.91748852166353,11.711816787981356,1.7329281131981178,1.648386193105768,0.7521701581577075,9520.375118490352
1178,compo_2551,0.0,2.0,80.0,10.0,8.0,1.0,1,0.8074234283986778,127494.44534126985,332.4526194619388,11.704106562274713,1.7295745950490702,1.6456080690965664,0.7514865931475826,9443.244864443888
1179,compo_2518,0.0,2.0,74.0,16.0,8.0,1.0,1,0.7083445587284393,97046.64117380956,313.7882711427835,11.703893572344693,1.6770241030817434,1.6027411850482929,0.7405440034910807,8412.848125980649
1180,compo_24577,2.0,0.0,68.0,24.0,6.0,1.0,1,0.2883934419679752,56311.83278189753,311.79015004842836,11.699033652614315,1.6716154296498105,1.5983890417579645,0.7394037936737021,8309.498079398876
1181,compo_25868,2.0,2.0,76.0,16.0,4.0,1.0,1,0.7531606099481483,110627.17027904766,327.6947186570162,11.696543967491937,1.71709783293077,1.6353250812582345,0.7489200846132608,9180.816909178608
1182,compo_24643,2.0,0.0,78.0,16.0,4.0,1.0,1,0.7643885413052912,114870.20237904765,327.68733665088797,11.696373097760189,1.7170916319936809,1.635319885963738,0.7489189056773251,9180.53739427268
1183,compo_24605,2.0,0.0,72.0,18.0,8.0,1.0,1,0.68155838177418,95605.22211284994,311.644634609897,11.694499025240136,1.6715700967929743,1.5983499599340356,0.7393969776583362,8304.9627069546
1184,compo_25802,2.0,2.0,66.0,24.0,6.0,1.0,1,0.2537384332914671,54961.02930310965,311.0645821584895,11.69443386686619,1.6698794898141125,1.5969928645089309,0.7390390342895058,8274.12214862225
1185,compo_27071,2.0,4.0,80.0,10.0,4.0,1.0,1,0.8015727107859792,123452.1254436508,327.0569336065756,11.688982192650476,1.7159584003062298,1.6343850201290584,0.7486890096020936,9151.030950102033
1186,compo_24591,2.0,0.0,70.0,20.0,8.0,1.0,1,0.4996122438288222,62294.644430468965,311.5358779204486,11.683804906865127,1.6721482136382289,1.5988079603298293,0.7395258738528121,8306.763422131235
1187,compo_27031,2.0,4.0,72.0,14.000000000000002,8.0,1.0,1,0.690934160714815,96803.36533224386,309.76110652055354,11.679402785559692,1.667315977702298,1.5949284172163358,0.7385048488482037,8215.483691638055
1188,compo_1089,0.0,0.0,57.99999999999999,32.0,10.0,1.0,1,0.17092667731010586,47620.48898404042,311.29667971097234,11.677487063397635,1.6719785745535582,1.5986679697820765,0.7394938483301595,8298.499692011683
1189,compo_25867,2.0,2.0,76.0,14.000000000000002,6.0,1.0,1,0.7554135175259262,114271.50293761908,327.3138977890203,11.675316355157698,1.7178168001022716,1.635902896146729,0.7490814937720759,9176.144305375798
1190,compo_1185,0.0,0.0,68.0,24.0,8.0,1.0,1,0.22370376760365804,51740.46681713563,312.1503540406104,11.674034759010578,1.6747611239164757,1.6009023946273562,0.740084356917278,8346.543893273167
1191,compo_2460,0.0,2.0,66.0,24.0,8.0,1.0,1,0.1827224475521501,51215.651597135635,311.4247861506716,11.669434973262453,1.6730285017071609,1.5995067280200637,0.7397208939933771,8311.061988109017
